window_id,unlock_id,acceleration_x,acceleration_y,speed_x,speed_y,orientation,velocity,acceleration_mag,TIMESTAMP
40,2,1.01641726493835,0.465759813785553,-8134.85155261373,2029.85623693501,166.532012939453,8384.27850954905,1.27965402603149,1494838246.991
41,2,0.612510800361633,0.254366785287857,-8134.83487696671,2029.86316208755,166.941024780273,8384.26400659677,1.59674143791199,1494838247.156
42,2,-0.367329895496368,0.217489197850227,-8134.84325243175,2029.86812104459,168.027328491211,8384.27333347783,2.09541726112366,1494838247.307
43,2,-0.574601531028748,-0.0479682087898254,-8134.85796224673,2029.86689305713,170.77604675293,8384.28730837979,2.11800217628479,1494838247.467
44,2,-0.354623854160309,0.465273529291153,-8134.86692748335,2029.87865562537,171.820831298828,8384.29885467031,1.69612526893616,1494838247.626
45,2,-0.261113077402115,0.718406021595001,-8134.8735286962,2029.89681768417,172.597778320313,8384.30965663402,1.03132617473602,1494838247.785
46,2,-0.238679096102715,0.446058928966522,-8134.88042650892,2029.90970876263,171.619277954102,8384.31947025677,0.890311598777771,1494838247.955
47,2,0.205549210309982,-0.648859858512878,-8134.87573977996,2029.89491410451,169.291870117187,8384.31134106838,2.24893283843994,1494838248.106
48,2,0.787314653396606,-0.558146297931671,-8134.85633324504,2029.88115634505,167.886840820313,8384.28918104699,1.52399563789368,1494838248.263
49,2,0.404639720916748,0.198483005166054,-8134.84635927232,2029.88604875668,169.88916015625,8384.28068828227,1.24057269096375,1494838248.42
50,2,0.0775962918996811,0.652600109577179,-8134.8443478985,2029.90296480693,171.603744506836,8384.2828322444,0.934177696704865,1494838248.581
51,2,-0.480995237827301,0.237226530909538,-8134.85681577813,2029.90911395686,173.641067504883,8384.29641795523,1.89744508266449,1494838248.742
52,2,-0.467935085296631,-1.00890076160431,-8134.86879489346,2029.88328614662,175.294464111328,8384.30178759739,1.28071534633636,1494838248.902
53,2,0.125270158052444,-0.510486960411072,-8134.86562793229,2029.87038050008,175.343963623047,8384.29559033708,1.67671751976013,1494838249.061
54,2,0.190664008259773,0.609877288341522,-8134.86086819645,2029.88560547523,174.613327026367,8384.29465824224,1.32143461704254,1494838249.219
55,2,0.0983007475733757,0.281928956508636,-8134.85847595256,2029.89246648943,172.806304931641,8384.29399826173,1.48597979545593,1494838249.375
56,2,0.685201466083527,-0.931447386741638,-8134.84049353841,2029.86802160205,168.46858215332,8384.27063258545,2.08379316329956,1494838249.537
57,2,0.395943224430084,-0.437553822994232,-8134.83048367782,2029.85695978183,166.162445068359,8384.25824240574,2.05862498283386,1494838249.696
58,2,0.0887356922030449,0.421141386032104,-8134.82826848021,2029.86747315437,167.95198059082,8384.25863843875,0.889798045158386,1494838249.854
59,2,-0.0750496983528137,0.638611674308777,-8134.83028701774,2029.88464926116,171.155288696289,8384.26475535495,1.7752902507782,1494838250.018
60,2,-0.616916596889496,-0.550448596477509,-8134.84472839532,2029.87176383052,173.909881591797,8384.27564746636,1.80086004734039,1494838250.171
61,3,-0.261113077402115,0.718406021595001,-8134.8735286962,2029.89681768417,172.597778320313,8384.30965663402,1.03132617473602,1494838247.785
62,3,-0.238679096102715,0.446058928966522,-8134.88042650892,2029.90970876263,171.619277954102,8384.31947025677,0.890311598777771,1494838247.955
63,3,0.205549210309982,-0.648859858512878,-8134.87573977996,2029.89491410451,169.291870117187,8384.31134106838,2.24893283843994,1494838248.106
64,3,0.787314653396606,-0.558146297931671,-8134.85633324504,2029.88115634505,167.886840820313,8384.28918104699,1.52399563789368,1494838248.263
65,3,0.404639720916748,0.198483005166054,-8134.84635927232,2029.88604875668,169.88916015625,8384.28068828227,1.24057269096375,1494838248.42
66,3,0.0775962918996811,0.652600109577179,-8134.8443478985,2029.90296480693,171.603744506836,8384.2828322444,0.934177696704865,1494838248.581
67,3,-0.480995237827301,0.237226530909538,-8134.85681577813,2029.90911395686,173.641067504883,8384.29641795523,1.89744508266449,1494838248.742
68,3,-0.467935085296631,-1.00890076160431,-8134.86879489346,2029.88328614662,175.294464111328,8384.30178759739,1.28071534633636,1494838248.902
69,3,0.125270158052444,-0.510486960411072,-8134.86562793229,2029.87038050008,175.343963623047,8384.29559033708,1.67671751976013,1494838249.061
70,3,0.190664008259773,0.609877288341522,-8134.86086819645,2029.88560547523,174.613327026367,8384.29465824224,1.32143461704254,1494838249.219
71,3,0.0983007475733757,0.281928956508636,-8134.85847595256,2029.89246648943,172.806304931641,8384.29399826173,1.48597979545593,1494838249.375
72,3,0.685201466083527,-0.931447386741638,-8134.84049353841,2029.86802160205,168.46858215332,8384.27063258545,2.08379316329956,1494838249.537
73,3,0.395943224430084,-0.437553822994232,-8134.83048367782,2029.85695978183,166.162445068359,8384.25824240574,2.05862498283386,1494838249.696
74,3,0.0887356922030449,0.421141386032104,-8134.82826848021,2029.86747315437,167.95198059082,8384.25863843875,0.889798045158386,1494838249.854
75,3,-0.0750496983528137,0.638611674308777,-8134.83028701774,2029.88464926116,171.155288696289,8384.26475535495,1.7752902507782,1494838250.018
76,3,-0.616916596889496,-0.550448596477509,-8134.84472839532,2029.87176383052,173.909881591797,8384.27564746636,1.80086004734039,1494838250.171
77,3,-0.581663727760315,-1.05672800540924,-8134.8594334212,2029.84504871674,174.967803955078,8384.28344721967,1.56984889507294,1494838250.33
78,3,0.0152167277410626,0.0820889249444008,-8134.85905355084,2029.84709798446,174.408340454102,8384.2835747805,1.23458349704742,1494838250.488
79,3,0.226373672485352,0.651561677455902,-8134.85333058663,2029.86357014803,173.79475402832,8384.28201002152,1.26343464851379,1494838250.647
80,3,0.661302030086517,-0.292534828186035,-8134.83618897387,2029.85598735149,171.7080078125,8384.26354254359,2.0923159122467,1494838250.808
81,3,0.288839936256409,-0.622363865375519,-8134.8288868188,2029.84025338647,168.584259033203,8384.25264839327,1.95657324790955,1494838250.967
82,3,0.129740789532661,0.330628573894501,-8134.8256068452,2029.84861199902,168.546264648437,8384.25148963333,0.944002509117126,1494838251.126
83,3,0.188226982951164,0.725934028625488,-8134.82078822927,2029.86719593009,170.161224365234,8384.25131360697,0.946957588195801,1494838251.286
84,3,-0.376733869314194,0.0353829748928547,-8134.83055354952,2029.86811309234,172.775299072266,8384.26101045952,1.76144909858704,1494838251.447
85,3,-0.184606850147247,-0.516560673713684,-8134.83527948995,2029.8548891249,173.513214111328,8384.26239423234,0.809441089630127,1494838251.607
86,3,-0.0499890297651291,-0.360926389694214,-8134.83652741597,2029.84587895938,172.234985351563,8384.26142365024,1.25190138816833,1494838251.765
87,3,0.201643422245979,0.265903979539871,-8134.83155711824,2029.85243321208,169.85383605957,8384.25818801543,0.954432606697083,1494838251.922
88,3,0.290627896785736,0.326371967792511,-8134.82383541553,2029.86110460026,166.167922973633,8384.25279540244,1.69906389713287,1494838252.085
89,3,0.210879996418953,-0.433005511760712,-8134.81870344659,2029.85056699178,162.960235595703,8384.2452649157,1.3356214761734,1494838252.241
90,3,0.0270710103213787,-0.17975702881813,-8134.81803617271,2029.84613615711,162.061431884766,8384.24354477569,1.5911785364151,1494838252.398
91,3,0.0363464020192623,0.465667545795441,-8134.81707048389,2029.85850849435,163.458160400391,8384.24560319788,0.862599670886993,1494838252.561
92,3,0.0287704113870859,0.746043562889099,-8134.81634313985,2029.87736920266,164.632095336914,8384.24946376337,1.62073922157288,1494838252.72
93,3,-0.522720098495483,-0.48171654343605,-8134.82955801334,2029.865190939,165.313873291016,8384.25933707405,2.03690910339355,1494838252.879
94,3,-0.214004918932915,-0.853771328926086,-8134.83490043163,2029.8438773936,165.771881103516,8384.25936048454,1.24916243553162,1494838253.037
95,3,0.181702926754951,-0.00223606824874878,-8134.83042163248,2029.84382227671,166.028289794922,8384.25500158197,1.47396779060364,1494838253.194
96,3,0.362092077732086,0.690622806549072,-8134.82126759189,2029.86128189429,165.629516601563,8384.2503468944,1.21614110469818,1494838253.353
97,3,0.760175347328186,-0.42403855919838,-8134.80156308344,2029.85029038897,162.758712768555,8384.22856750322,2.22320413589478,1494838253.514
98,3,0.433326810598373,-0.560325741767883,-8134.79074551399,2029.83630241851,161.294876098633,8384.21468522342,2.02984166145325,1494838253.672
99,3,0.0518594086170197,0.15222156047821,-8134.78931647393,2029.84049704229,163.176300048828,8384.21431422475,1.16160130500793,1494838253.838
100,3,0.0932016223669052,0.578767240047455,-8134.78713472063,2029.85404538299,165.542465209961,8384.21547747754,0.744497776031494,1494838253.991
101,3,-0.670575201511383,0.149618685245514,-8134.80561311933,2029.85816828183,166.665313720703,8384.23440431971,1.91860747337341,1494838254.157
102,3,-0.696326196193695,-0.655591070652008,-8134.82299620481,2029.84180210792,166.750701904297,8384.24730796793,1.25460195541382,1494838254.315
103,3,-0.0429122261703014,-0.141598701477051,-8134.8240405154,2029.83835616639,166.726409912109,8384.24748694309,1.39927172660828,1494838254.471
104,3,0.0145148513838649,0.669857800006866,-8134.82368728135,2029.85465785451,166.302642822266,8384.25109089461,1.21241283416748,1494838254.627
105,3,0.179339587688446,-0.118880249559879,-8134.8191534018,2029.85165244595,164.450088500977,8384.24596427672,1.52522695064545,1494838254.786
106,3,0.259891211986542,-0.978740036487579,-8134.81233282182,2029.82596641118,162.031585693359,8384.23312796984,1.2458176612854,1494838254.948
107,3,0.166708067059517,0.0196327921003103,-8134.80822363128,2029.82645034027,162.103393554688,8384.22925818229,1.16348004341125,1494838255.105
108,3,0.244459956884384,0.650462985038757,-8134.80180802885,2029.84352107839,163.276153564453,8384.22716629108,0.947982609272003,1494838255.267
109,3,-0.393169969320297,0.432656347751617,-8134.81125393388,2029.85391564331,164.998870849609,8384.23884774174,2.05422830581665,1494838255.422
110,3,-0.493353277444839,-0.801187515258789,-8134.82420152595,2029.83288923162,166.733581542969,8384.24631961267,1.36079025268555,1494838255.584
